Entity Type,Precision,Recall,F1 Score,Exact Match,Fuzzy Match,Support,Jaccard
Graduation Year,0.5227,0.5227,0.5227,0.5227,0.5248,104,
Years Of Experience,0.6534,0.6534,0.6534,0.65,0.6544,34,
Email,0.4,0.375,0.3833,0.35,0.4954,190,
Location,0.2814,0.5182,0.3453,0.1,0.3299,199,
Name,0.5,0.4977,0.4985,0.4909,0.5027,218,
College Name,0.3716,0.3746,0.3621,,,194,0.304
Degree,0.4841,0.4505,0.4601,,,192,0.4417
Skills,0.2069,0.2163,0.2054,,,183,0.1857
Designation,0.3044,0.2918,0.2909,,,202,0.2429
Companies Worked At,0.3142,0.3735,0.3293,,,190,0.2822
MACRO AVG,0.4039,0.4274,0.4051,,,220,
